,Rank,State,2006 census,Total  area (km2),Population  density (/km2),City_name
0,,,,,,None
1,1,Lagos,"8,048,430","1,171.3","6,871",Lagos
2,2,Kano,"2,828,861",449,"6,300",Kano
3,3,Oyo,"2,559,853","3,080",831,Ibadan
4,4,Edo,"1,147,188","1,204",953,Benin City
5,5,Rivers,"1,005,904",369,"2,726",Port Harcourt
6,6,Plateau,"821,618","1,821",451,Jos
7,7,Kwara,"777,667",765,"1,016",Ilorin
8,8,FCT,"776,298","1,769",439',Abuja
9,9,Kaduna,"760,084",131,"5,802",Kaduna
10,10,Enugu,"722,664",556,1300,Enugu
11,11,Kaduna,"695,089",563,"1,234.6",Zaria
12,12,Oyo,"602,539",,,Ogbomosho
13,13,Delta,"557,398",,,Warri
14,14,Lagos,"535,619",345,"1,553",Ikorodu
15,15,Borno,"543,016",137,"3,964",Maiduguri
16,16,Abia,"534,265",72,"7,400",Aba
17,17,Bauchi,"493,810","3,687",134,Bauchi
18,18,Ondo,"484,798",991,489,Akure
19,19,Ogun,"451,607",879,510,Abeokuta
20,20,Oyo,"428,798",2427,177,Oyo
21,21,Akwa Ibom,"427,873",362,"1,182",Uyo
22,22,Sokoto,"427,760",,,Sokoto
23,23,Imo,"401,873",551,729,Owerri
24,24,Adamawa,"392,854",831,473,Yola
25,25,Cross River,"371,022",406,910,Calabar
26,26,Osun,"396,508","1,750",284,Ife
27,27,Abia,"359,230",385,933,Umuahia
28,28,Ondo,"358,430",,,Ondo
29,29,Niger,"348,788","1,664",209,Minna
30,30,Nasarawa,"330,712",,,Lafia
31,31,Kogi,"320,260",328,976.4,Okene
32,32,Katsina,"318,459",142,"2,243",Katsina
33,-,Lagos,"313,196",49.92,"6,274",Ikeja
34,33,Enugu,"309,633",45.38,,Nsukka
35,34,Ekiti,"308,621",293,"1,053",Ado Ekiti
36,35,Anambra,"301,657",,,Awka
37,36,Oyo,"286,700","1,820",,Iseyin
38,37,Adamawa,"280,009","1,317",,Mubi
39,38,Anambra,"261,604",52,"5,030.8",Onitsha
40,39,Ogun,"253,412",,,Sagamu
41,40,Benue,"249,000",,,Makurdi
42,41,Niger,"244,937","4,338",56.4,Mokwa
43,42,Lagos,"241,093",441,547,Badagry
44,43,Osun,"233,900",,,Ilesa
45,44,Gombe,"230,900",,,Gombe
46,45,Ogun,"228,851","1,410",162,Obafemi Owode
47,46,Ondo,"218,886","1,027",213,Owo
48,47,Adamawa,"218,400",,,Jimeta
49,48,Niger,"216,578",119,"1,820",Suleja
50,49,Niger,"209,917","2,835",74,Lavun
51,50,Yobe,"205,876",559,368,Potiskum
52,51,Borno,"203,864","4,901",41.6,Kukawa
53,52,Zamfara,"201,200",,,Gusau
54,53,Osun,"191,377",214,894,Iwo
55,54,Niger,"188,181",51,"3,689",Bida
56,55,Cross River,"187,000",,,Ugep
57,56,Ogun,"186,700",,,Ijebu Ode
58,57,Lagos,"181,409",965,188,Epe
59,58,Ekiti,"167,100",,,Ise Ekiti
60,59,Benue,"166,400",,,Gboko
61,60,Ekiti,"160,700",,,Ilawe Ekiti
62,61,Ondo,"160,600",,,Ikare
63,62,Osun,"156,694",47,"3,334",Osogbo
64,63,Anambra,"152,900",,,Okpoko
65,64,Jigawa,"152,233","1,408",108.12,Garki
66,65,Delta,"151,000",,,Sapele
67,66,Osun,"150,700",,,Ila
68,67,Oyo,"150,300",,,Shaki
69,68,Ekiti,"147,300",,,Ijero
70,69,Akwa Ibom,"143,077",116,"1,233",Ikot Ekpene
71,70,Taraba,"139,845",,,Jalingo
72,71,Benue,"136,800",,,Otukpo
73,72,Imo,"132,237",,,Okigwe
74,73,Oyo,"130,800",,,Kisi
75,74,Rivers,"124,200",,,Buguma
76,75,Katsina,"122,500",,,Funtua
77,76,Ebonyi,"151,723",,,Abakaliki
78,77,Delta,"149,603",268,558,Asaba
79,78,Osun,"117,300",,,Gbongan
80,79,Oyo,"115,000",,,Igboho
81,80,Yobe,"109,600",,,Gashua
82,81,Borno,"102,800",,,Bama
83,82,Edo,"101,400",,,Uromi
